IDfg,Name,Age,Team,Position,fantasy_points_pred,projected_fantasy_points,final_projection,initial_rank,position_group,position_rank,replacement_value,z_score_value,vorp,relative_value,pos_adjustment,overall_ranking
18345.0,Kyle Tucker,28.0,,DH,1443.36767578125,1439.0,1442.0573608398438,2.0,IF,1,979.8640258789062,3714.532275867695,462.1933349609376,2088.3628054143164,1.0,5
13510.0,Jose Ramirez,32.0,CLE,3B,1402.8521728515625,1495.0,1430.4965209960938,3.0,IF,2,979.8640258789062,3568.2735005844957,450.63249511718755,2009.4529978508417,1.0,6
25764.0,Bobby Witt Jr.,25.0,KC,SS,1323.886474609375,1540.0,1388.7205200195312,4.0,IF,3,979.8640258789062,3055.4497569279442,408.85649414062505,1732.1531255342848,1.0,8
19611.0,Vladimir Guerrero Jr.,26.0,TOR,1B,1287.720703125,1486.0,1347.2044799804687,5.0,IF,4,979.8640258789062,2570.17248191128,367.3404541015625,1468.7564680064213,1.0,11
14344.0,Matt Olson,31.0,ATL,1B,1323.3179931640625,1376.0,1339.1225708007812,6.0,IF,5,979.8640258789062,2478.5270350760165,359.258544921875,1418.8927899989458,1.0,12
13613.0,Ketel Marte,31.0,ARI,2B,1332.2132568359375,1354.0,1338.7492553710938,7.0,IF,6,979.8640258789062,2474.3160271344027,358.8852294921876,1416.6006283132951,1.0,14
12916.0,Francisco Lindor,31.0,NYM,SS,1299.849365234375,1391.0,1327.19453125,8.0,IF,7,979.8640258789062,2344.949172422091,347.33050537109375,1346.1398388965924,1.0,15
11579.0,Bryce Harper,32.0,PHI,1B,1281.357421875,1415.0,1321.4501953125,9.0,IF,8,979.8640258789062,2281.3354067362093,341.5861694335938,1311.4607880849017,1.0,16
26289.0,Gunnar Henderson,24.0,BAL,SS,1255.720703125,1446.0,1312.8044555664062,10.0,IF,9,979.8640258789062,2186.467268310494,332.9404296875,1259.703848998997,1.0,17
17350.0,Rafael Devers,28.0,SF,1B,1273.027587890625,1374.0,1303.3193237304688,11.0,IF,10,979.8640258789062,2083.5998889271345,323.4552978515626,1203.5275933893486,1.0,18
11493.0,Manny Machado,32.0,SD,3B,1298.2249755859375,1312.0,1302.3574462890624,12.0,IF,11,979.8640258789062,2073.2389899981313,322.4934204101562,1197.8662052041436,1.0,19
28163.0,Junior Caminero,21.0,TB,3B,1257.3131103515625,1363.0,1289.019140625,13.0,IF,12,979.8640258789062,1930.9083644901855,309.1551147460939,1120.0317396181397,1.0,22
26668.0,Elly De La Cruz,23.0,CIN,SS,1187.07373046875,1440.0,1262.9515991210938,14.0,IF,13,979.8640258789062,1659.9813250476807,283.08757324218755,971.5344491449341,1.0,26
13611.0,Mookie Betts,32.0,LAD,SS,1221.730712890625,1290.0,1242.2114868164062,15.0,IF,14,979.8640258789062,1451.2612790705452,262.34746093750005,856.8043700040226,1.0,28
5361.0,Freddie Freeman,35.0,LAD,1B,1196.3665771484375,1345.0,1240.9566040039062,16.0,IF,15,979.8640258789062,1438.8270515550928,261.09257812500005,849.9598148400464,1.0,29
,Munetaka Murakami,,CWS,1B,1222.0,1222.0,1221.9999633789062,17.0,IF,16,979.8640258789062,1253.69041216363,242.13593749999995,747.913174831815,1.0,39
20503.0,William Contreras,27.0,MIL,C,1221.227783203125,1201.0,1215.1594360351562,18.0,IF,17,979.8640258789062,1188.1265242784032,235.29541015625,711.7109672173266,1.0,42
16252.0,Trea Turner,32.0,PHI,SS,1173.3485107421875,1280.0,1205.3439331054688,19.0,IF,18,979.8640258789062,1095.2000963632674,225.47990722656255,660.340001794915,1.0,48
19251.0,Pete Alonso,30.0,BAL,1B,1121.3614501953125,1396.0,1203.7530029296875,20.0,IF,19,979.8640258789062,1080.2660771587389,223.88897705078125,652.0775271047601,1.0,52
19612.0,Bo Bichette,27.0,,DH,1175.9447021484375,1247.0,1197.2612548828124,21.0,IF,20,979.8640258789062,1019.6977762612198,217.3972290039062,618.547502632563,1.0,56
18839.0,Josh Naylor,28.0,SEA,1B,1186.7828369140625,1206.0,1192.5479858398437,22.0,IF,21,979.8640258789062,976.0947351751454,212.6839599609375,594.3893475680414,1.0,57
21534.0,Cal Raleigh,28.0,SEA,C,1102.5517578125,1375.0,1184.2861938476562,23.0,IF,22,979.8640258789062,900.4188835292293,204.42216796875005,552.4205257489897,1.0,62
15986.0,Willy Adames,29.0,SF,SS,1127.622802734375,1299.0,1179.0359375,24.0,IF,23,979.8640258789062,852.8275713525287,199.17191162109384,525.9997414868112,1.0,64
16578.0,Yandy Diaz,33.0,TB,1B,1128.1241455078125,1256.0,1166.4868896484375,25.0,IF,24,979.8640258789062,740.6490726306698,186.62286376953125,463.63596820010054,1.0,68
35110.0,Nick Kurtz,22.0,ATH,1B,1093.15185546875,1322.0,1161.806298828125,26.0,IF,25,979.8640258789062,699.3763198850239,181.9422729492187,440.6592964171213,1.0,72
22186.0,Brice Turang,25.0,MIL,2B,1128.85205078125,1232.0,1159.7964111328124,27.0,IF,26,979.8640258789062,681.7481411120664,179.9323852539062,430.8402631829863,1.0,74
15998.0,Cody Bellinger,29.0,,DH,1112.6978759765625,1269.0,1159.5884887695313,28.0,IF,27,979.8640258789062,679.9277584459019,179.7244628906251,429.8261106682635,1.0,75
31347.0,Zach Neto,24.0,LAA,SS,1087.546875,1304.0,1152.4827758789063,29.0,IF,28,979.8640258789062,618.0825060399227,172.6187500000001,395.3506280199614,1.0,78
22799.0,Geraldo Perdomo,25.0,ARI,SS,1108.8031005859375,1248.0,1150.5621704101563,30.0,IF,29,979.8640258789062,601.488434513691,170.69814453125014,386.09328952247057,1.0,81
13624.0,Corey Seager,31.0,TEX,SS,1135.7225341796875,1171.0,1146.3057373046875,31.0,IF,30,979.8640258789062,564.8979458472153,166.44171142578125,365.66982863649827,1.0,83
20454.0,Jazz Chisholm Jr.,27.0,NYY,2B,1073.52783203125,1284.0,1136.669482421875,32.0,IF,31,979.8640258789062,483.0026481600591,156.80545654296884,319.904052351514,1.0,84
26319.0,Michael Busch,27.0,CHC,1B,1136.84765625,1126.0,1133.5933349609375,33.0,IF,32,979.8640258789062,457.13493131683055,153.72930908203125,305.43212019943087,1.0,85
18314.0,Dansby Swanson,31.0,CHC,SS,1097.73828125,1186.0,1124.2168090820312,34.0,IF,33,979.8640258789062,379.1089193499672,144.352783203125,261.7308512765461,1.0,88
27467.0,Tyler Soderstrom,23.0,ATH,1B,1129.9805908203125,1105.0,1122.4863891601562,35.0,IF,34,979.8640258789062,364.84473736347064,142.62236328125005,253.73355032236034,1.0,89
22715.0,Maikel Garcia,25.0,KC,2B,1042.4952392578125,1263.0,1108.6466430664063,36.0,IF,35,979.8640258789062,252.27879978233503,128.78261718750014,190.53070848491757,1.0,96
16505.0,Matt Chapman,32.0,SF,3B,1030.4783935546875,1277.0,1104.4348388671874,37.0,IF,36,979.8640258789062,218.5574766274699,124.5708129882812,171.56414480787555,1.0,99
21479.0,Nico Hoerner,28.0,CHC,2B,1064.2030029296875,1186.0,1100.7420776367187,38.0,IF,37,979.8640258789062,189.19740160454344,120.8780517578125,155.03772668117796,1.0,102
16997.0,Gleyber Torres,28.0,DET,2B,1042.7298583984375,1204.0,1091.110888671875,39.0,IF,38,979.8640258789062,113.52643813453487,111.24686279296884,112.38665046375186,1.0,112
12552.0,Eugenio Suarez,33.0,,DH,1035.7449951171875,1219.0,1090.721484375,40.0,IF,39,979.8640258789062,110.49442392137965,110.85745849609384,110.67594120873675,1.0,113
18882.0,Brandon Lowe,30.0,PIT,2B,1092.1343994140625,1082.0,1089.0940795898437,41.0,IF,40,979.8640258789062,97.84609785748438,109.23005371093745,103.53807578421092,1.0,114
31781.0,Jackson Holliday,21.0,BAL,2B,1090.0067138671875,1069.0,1083.7046997070313,42.0,IF,41,979.8640258789062,56.22573577193911,103.84067382812509,80.0332048000321,1.0,119
20599.0,Ivan Herrera,25.0,STL,C,1058.0225830078125,1092.0,1068.2157836914062,43.0,IF,42,979.8640258789062,-61.11226883079093,88.35175781249995,13.619744490854512,1.0,128
,Kazuma Okamoto,,TOR,3B,1064.0,1064.0,1063.9999877929688,44.0,IF,43,979.8640258789062,-92.46440768949951,84.13596191406259,-4.164222887718459,1.0,131
21636.0,Jeremy Pena,27.0,HOU,SS,999.6567993164062,1210.0,1062.759765625,45.0,IF,44,979.8640258789062,-101.64006416609648,82.8957397460938,-9.372162210001342,1.0,133
25768.0,CJ Abrams,24.0,WSH,SS,1009.1116333007812,1185.0,1061.8781127929688,46.0,IF,45,979.8640258789062,-108.14970595554598,82.01408691406255,-13.067809520741719,1.0,134
27465.0,Spencer Torkelson,25.0,DET,1B,1008.9971923828125,1177.0,1059.3980346679687,47.0,IF,46,979.8640258789062,-126.40252272453702,79.53400878906245,-23.434256967737284,1.0,138
18360.0,Austin Riley,28.0,ATL,3B,933.6232299804688,1306.0,1045.3362548828125,48.0,IF,47,979.8640258789062,-228.25573700271076,65.47222900390625,-81.39175399940225,1.0,149
13419.0,Christian Walker,34.0,HOU,1B,1008.281005859375,1127.0,1043.8966918945312,49.0,IF,48,979.8640258789062,-238.52570333362996,64.03266601562495,-87.2465186590025,1.0,150
27676.0,Vinnie Pasquantino,27.0,KC,1B,955.0303344726562,1219.0,1034.221240234375,50.0,IF,49,979.8640258789062,-306.7937562214259,54.35721435546884,-126.21827093297853,1.0,152
27615.0,Alec Burleson,26.0,STL,1B,999.0712280273438,1107.0,1031.449853515625,51.0,IF,50,979.8640258789062,-326.1051494469435,51.585827636718705,-137.2596609051124,1.0,155
25816.0,Shea Langeliers,27.0,ATH,C,1013.3060302734375,1071.0,1030.614208984375,52.0,IF,51,979.8640258789062,-331.906802492182,50.75018310546875,-140.57830969335663,1.0,156
5417.0,Jose Altuve,35.0,HOU,2B,951.6304321289062,1210.0,1029.1412963867188,53.0,IF,52,979.8640258789062,-342.1088854214715,49.277270507812545,-146.41580745682947,1.0,158
17678.0,Alex Bregman,31.0,,DH,912.6318359375,1292.0,1026.44228515625,54.0,IF,53,979.8640258789062,-360.7241944241299,46.578259277343705,-157.0729675733931,1.0,162
11609.0,Willson Contreras,33.0,BOS,C,992.6256103515625,1101.0,1025.137890625,55.0,IF,54,979.8640258789062,-369.6839338776894,45.27386474609375,-162.20503456579783,1.0,163
29576.0,Ben Rice,26.0,NYY,C,987.6383666992188,1106.0,1023.1468627929687,56.0,IF,55,979.8640258789062,-383.31386748799594,43.2828369140625,-170.01551528696672,1.0,166
26294.0,Bryson Stott,27.0,PHI,2B,972.0662231445312,1129.0,1019.1463500976563,57.0,IF,56,979.8640258789062,-410.53126388667016,39.28232421875009,-185.62446983396003,1.0,171
